year,section,row_no,account,account_key,entity,scope,value_yuan,value_wan
2020,资产负债表,7,衍生金融资产,衍生金融资产,本部,公司,0.0,0.0
2020,资产负债表,7,衍生金融资产,衍生金融资产,现代环投,公司,0.0,0.0
2020,资产负债表,7,衍生金融资产,衍生金融资产,大有期货,公司,267100.0,26.71
2020,资产负债表,7,衍生金融资产,衍生金融资产,现代财富,公司,127948629.23,12794.862923
2020,资产负债表,7,衍生金融资产,衍生金融资产,现代资产,公司,0.0,0.0
2020,资产负债表,7,衍生金融资产,衍生金融资产,怀芷公司,公司,0.0,0.0
2020,资产负债表,7,衍生金融资产,衍生金融资产,溆怀公司,公司,0.0,0.0
2020,资产负债表,7,衍生金融资产,衍生金融资产,现代房产,公司,0.0,0.0
2020,资产负债表,7,衍生金融资产,衍生金融资产,安迅小贷,公司,0.0,0.0
2020,资产负债表,7,衍生金融资产,衍生金融资产,现代担保,公司,0.0,0.0
2020,资产负债表,7,衍生金融资产,衍生金融资产,巴陵农商行,公司,0.0,0.0
2020,资产负债表,7,衍生金融资产,衍生金融资产,长韶娄公司,公司,0.0,0.0
2020,资产负债表,7,衍生金融资产,衍生金融资产,集团审定口径,集团,74563579.23,7456.3579230000005
2020,资产负债表,8,应收票据,应收票据,母公司,公司,0.0,0.0
2020,资产负债表,8,应收票据,应收票据,本部,公司,0.0,0.0
2020,资产负债表,8,应收票据,应收票据,现代环投,公司,5900000.0,590.0
2020,资产负债表,8,应收票据,应收票据,大有期货,公司,0.0,0.0
2020,资产负债表,8,应收票据,应收票据,现代财富,公司,2300000.0,230.0
2020,资产负债表,8,应收票据,应收票据,现代资产,公司,0.0,0.0
2020,资产负债表,8,应收票据,应收票据,怀芷公司,公司,0.0,0.0
2020,资产负债表,8,应收票据,应收票据,溆怀公司,公司,0.0,0.0
2020,资产负债表,8,应收票据,应收票据,现代房产,公司,0.0,0.0
2020,资产负债表,8,应收票据,应收票据,安迅小贷,公司,0.0,0.0
2020,资产负债表,8,应收票据,应收票据,现代担保,公司,0.0,0.0
2020,资产负债表,8,应收票据,应收票据,巴陵农商行,公司,0.0,0.0
2020,资产负债表,8,应收票据,应收票据,长韶娄公司,公司,0.0,0.0
2020,资产负债表,8,应收票据,应收票据,集团审定口径,集团,8200000.0,820.0
2020,资产负债表,9,应收账款,应收账款,母公司,公司,8634930.47,863.493047
2020,资产负债表,9,应收账款,应收账款,本部,公司,4605290.62,460.529062
2020,资产负债表,9,应收账款,应收账款,凯莱酒店,公司,4074354.81,407.435481
2020,资产负债表,9,应收账款,应收账款,现代环投,公司,276666838.78,27666.683877999996
2020,资产负债表,9,应收账款,应收账款,大有期货,公司,730291.92,73.02919200000001
2020,资产负债表,9,应收账款,应收账款,现代财富,公司,14631277.5,1463.12775
2020,资产负债表,9,应收账款,应收账款,现代资产,公司,15455196.21,1545.5196210000001
2020,资产负债表,9,应收账款,应收账款,怀芷公司,公司,871151.01,87.115101
2020,资产负债表,9,应收账款,应收账款,溆怀公司,公司,0.0,0.0
2020,资产负债表,9,应收账款,应收账款,现代房产,公司,0.0,0.0
2020,资产负债表,9,应收账款,应收账款,安迅小贷,公司,0.0,0.0
2020,资产负债表,9,应收账款,应收账款,现代担保,公司,0.0,0.0
2020,资产负债表,9,应收账款,应收账款,巴陵农商行,公司,0.0,0.0
2020,资产负债表,9,应收账款,应收账款,长韶娄公司,公司,21423238.22,2142.323822
2020,资产负债表,9,应收账款,应收账款,集团审定口径,集团,331362069.85,33136.206985000004
2020,资产负债表,10,减：应收账款--坏账准备,减：应收账款--坏账准备,母公司,公司,388530.49,38.853049
2020,资产负债表,10,减：应收账款--坏账准备,减：应收账款--坏账准备,本部,公司,52039.78,5.203978
2020,资产负债表,10,减：应收账款--坏账准备,减：应收账款--坏账准备,凯莱酒店,公司,336490.71,33.649071
2020,资产负债表,10,减：应收账款--坏账准备,减：应收账款--坏账准备,现代环投,公司,44880997.85,4488.099785
2020,资产负债表,10,减：应收账款--坏账准备,减：应收账款--坏账准备,大有期货,公司,8082.12,0.808212
2020,资产负债表,10,减：应收账款--坏账准备,减：应收账款--坏账准备,现代财富,公司,176550.23,17.655023
2020,资产负债表,10,减：应收账款--坏账准备,减：应收账款--坏账准备,现代资产,公司,4672833.84,467.283384
2020,资产负债表,10,减：应收账款--坏账准备,减：应收账款--坏账准备,怀芷公司,公司,9844.01,0.984401
2020,资产负债表,10,减：应收账款--坏账准备,减：应收账款--坏账准备,溆怀公司,公司,0.0,0.0
