year,entity,scope,资产总额,负债总额,营业收入,营业成本,利润总额,净利润,经营现金净额,现金净增加额,所有者权益,资产负债率,销售净利率
2020,凯莱酒店,公司,47981.583889999994,69288.289048,7351.6169150000005,8462.516615999999,-480.64721900000006,-954.1814109999999,0.0,0.0,-21306.70515800001,1.4440600628534193,-0.1297920473866258
2020,大有期货,公司,325356.90270700003,251850.24378699998,546095.476337,541453.364999,5640.595621,4187.379011,39604.975594,20407.809752,73506.65892000005,0.7740737685033952,0.007667851488328267
2020,安迅小贷,公司,14748.682217,1627.849273,12.972932,312.689807,-39.464583000000005,-39.464583000000005,242.02626099999998,-57.973739,13120.832944,0.11037252339220295,-3.042071214124918
2020,巴陵农商行,公司,864539.422118,791196.857066,27884.334555,26059.779831,18027.201461,13914.203906,46744.750705,1381.646282,73342.56505199999,0.9151657366042129,0.4989971655430814
2020,怀化分公司,公司,1722.0858230000001,1722.0858230000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2020,怀芷公司,公司,332705.188185,25696.333989,2482.075714,13374.271432,-10824.922379000001,-10824.922379000001,4793.183837,-2248.734427,307008.854196,0.0772345454820849,-4.3612377809196845
2020,本部,公司,2848243.359253,669320.6039699999,187904.419222,155495.553136,49968.791825,41981.840685,129383.62520699999,55910.024215,2178922.755283,0.2349941769531732,0.22342125245814728
2020,母公司,公司,2842687.8455,685509.2216149999,195177.761879,163879.79549400002,48927.680501,40590.233034,129383.62520699999,55910.024215,2157178.623885,0.24114825787156585,0.2079654600156949
2020,溆怀公司,公司,134783.931144,12656.379734,0.0,0.0,0.0,0.0,0.0,239.515998,122127.55141,0.09390125088782446,
2020,潭耒分公司,公司,5345.393479,5345.393479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2020,潭耒项目部,公司,222881.15238,222881.15238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2020,现代房产,公司,2335.0857079999996,9354.089753,0.0,137.818706,-133.76466399999998,-133.76466399999998,-95.336026,41.483934000000005,-7019.004045000001,4.005887116242845,
2020,现代担保,公司,35118.968358,768.311471,89.960112,275.107458,464.69606799999997,347.266887,-561.492695,-2241.28001,34350.656887,0.021877392956646487,3.860231821409916
2020,现代环投,公司,232940.72671,69322.732689,31849.619215,30934.801027999998,3715.2359479999996,2903.756398,4930.81906,-2055.6508059999996,163617.994021,0.2975981644261953,0.09117083561967478
2020,现代财富,公司,191828.611217,133501.105615,540259.634813,555797.3714640001,10666.824125,9100.308992,-292211.369723,-11675.034989,58327.50560199999,0.6959394887344575,0.016844325219947054
2020,现代资产,公司,14055.758825,12760.357003000001,48383.855682,47232.003898,1340.934577,722.644697,3018.941206,52.954832999999994,1295.4018219999998,0.9078383573503013,0.014935657500087199
2020,综合楼项目部,公司,73777.515652,73777.515652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2020,长沙分公司,公司,9521.507095,9521.507095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2020,长韶娄公司,公司,1057421.8244639998,25605.264015,45062.884542,55624.825575999996,-9815.566656,-7382.704932,23561.93994,-9499.834253,1031816.5604489999,0.024214805693063068,-0.1638311663142445
2020,集团审定口径,集团,4555642.475362,1699422.686633,1430920.432876,1424364.592653,71801.881537,56081.771109,-40587.936634,50254.92679,2856219.788729,0.37303688685490194,0.03919279494547543
2021,大有期货,公司,388970.941215,309512.221321,617384.01954,611219.923871,7816.093887999999,6266.215242,75380.448049,66755.279438,79458.71989399998,0.7957206786558384,0.010149623319808029
2021,安迅小贷,公司,13325.551976,649.299496,8.095009,325.866829,-495.94555499999996,-444.58046399999995,1054.34975,50.74065,12676.252480000001,0.04872589872220089,-54.920317444983695
2021,巴陵农商行,公司,1014965.652941,927316.367093,32545.472804,31651.559627,8503.523864,7237.522276000001,87041.328888,-28677.67207,87649.28584799997,0.9136431015236581,0.22238184461435978
2021,怀芷公司,公司,343106.217059,48744.325061,3089.237387,13568.248743,-10479.195776999999,-10479.195776999999,583.013777,-636.127513,294361.891998,0.1420677406513389,-3.3921626810222203
2021,母公司,公司,2788684.66494,639490.971544,178672.087408,137194.31072,62795.578374000004,51937.407124,106667.088015,-97997.65038600001,2149193.693396,0.22931634386054148,0.2906856234650702
2021,湘衡高速,公司,1011977.190051,803765.434716,6551.315616,5974.14487,576.291492,433.53309299999995,7214.71692,7214.71692,208211.755335,0.7942525213196684,0.06617496674121462
2021,溆怀公司,公司,127525.395751,5397.844341,0.0,0.0,0.0,0.0,-739.906962,-904.767474,122127.55141,0.04232760313514002,
2021,现代房产,公司,2211.727214,9350.512888,-2.149178,117.51808,-119.78162900000001,-119.78162900000001,-142.10712,0.9009959999999999,-7138.785673999999,4.227697172061834,55.733693998356586
2021,现代担保,公司,35190.073787,683.72273,65.19976899999999,279.23992400000003,228.24219,155.69416999999999,-165.196438,706.964355,34506.351057,0.0194294201864556,2.387955853033774
2021,现代环投,公司,260713.446105,69712.4057,28149.978172000003,34962.357726,-4018.1499200000003,-4489.842977,606.720517,-1378.46853,191001.040405,0.26739091037108975,-0.15949720989360913
2021,现代财富,公司,226720.875307,157012.55193,680242.7179149999,697491.709289,17269.495408000002,12421.01987,40995.100178,59833.615562,69708.32337700002,0.6925368108136984,0.018259688112607
2021,现代资产,公司,13077.508285,9112.394461,11603.497337,9874.007285,1868.30405,1421.9950880000001,2932.457401,-479.18146900000005,3965.113824,0.6967989820700007,0.1225488356398974
2021,长韶娄公司,公司,1043038.726258,33075.649595999996,53213.480114,53066.275277999994,276.324777,-1370.483787,43366.127037,-1130.1698390000001,1009963.076662,0.031710854796985356,-0.025754447633644574
